41;Мария Выглодова;YaLubluDota2@mail.ru;(699)132-43-83;0;Симферополь;Тверская улица;Фигурки;6319;WFANNYSLIO;TW1OR4UYVE
42;Ярослава Всеволодова;NenavizhuDota2@gmail.com;(221)335-45-39;6;Краснодар;Невская;Фигурки;19402;2II6SROO8E;29NX285XDP
43;Никита Жмыхов;ZayaIzRaya@yandex.ru;(983)637-71-24;14;Симферополь;Манхетен стрит;Геймпады;205;GGLSEIXNGY;SWTVW3XZKU
44;Дминтрий Константинопольский;YaLubluDota2@mail.ru;(741)465-59-91;4;Красноярск;Улина Красных фонарей;Геймпады;22733;SIHQUQFNJX;TW1OR4UYVE
41;Неонила Задорная;yaguar666@mail.ru;(221)335-45-39;2;Санкт-Петербург;Проезд Репина;Видео-игры;6120;W5TJX2HZG5;CDDSU8MFWK
42;Диана Зайцева;ZayaIzRaya@yandex.ru;(954)093-64-44;8;Новосибирск;Тверская улица;Сладости;858;KOGUPUMVXW;469Z9D7XFQ
43;Никита Жмыхов;NenavizhuDota2@gmail.com;(983)637-71-24;13;Севастополь;Манхетен стрит;Сладости;28077;SPVZTBUTN0;V0X0Z4J1PY
44;Никита Жмыхов;Bozhenka@mail.ru;(200)576-89-22;5;Томск;Красная улица;Геймпады;34197;W5TJX2HZG5;8OYZ2L6SYS
41;Ярослава Всеволодова;GGbr0@gmail.com;(954)093-64-44;6;Обнинск;Манхетен стрит;Дакимакура;32245;HG8HT15eDr;UT4SXI7OLH
42;Диана Зайцева;mrsK1tty@gmail.com;(025)851-00-60;9;Томск;Дворцовая площадь;Арты;2020;HG8HT15eDr;3W7U6IDUP0
43;Ярослава Всеволодова;Sash0kZapash0k@gmail.com;(699)132-43-83;9;Москва;Тверская улица;Значки;31049;G0WSU814m8;BrP7m1DPQK
44;Мария Выглодова;Bozhenka@mail.ru;(983)637-71-24;14;Томск;Невская;Фигурки;28077;7FSLQAGOSY;H744eQXXKC
41;Анастасия Мирная;mrsK1tty@gmail.com;(900)797-56-85;14;Обнинск;Улица Лузана;Брелки;15484;4NUNJKeIQv;8NvFFeOQJL
42;Неонила Задорная;ZayaIzRaya@yandex.ru;(025)851-00-60;10;Красноярск;Манхетен стрит;Значки;32154;1SFAIKK1Kz;8NvFFeOQJL
43;Анастасия Мирная;NenavizhuDota2@gmail.com;(593)273-01-91;3;Севастополь;Улица Лузана;Видео-игры;12774;3K2HJ0Hzr9;O1NCGAvSF3
44;Дминтрий Константинопольский;YaLubluDota2@mail.ru;(900)797-56-85;10;Новосибирск;Улина Красных фонарей;Диски;15135;4AH5QC9BF0;1Iz6CU7ez9
